caves;stalagmite;latitude;longitude;depth;age;O18;O18_error;C13;C13_error;
Cueva de Diamante;NAR-C;-5.733333;-77.5;43.21111111;22.297;-7.17;-;-9.1;-;2.62
Cueva de Diamante;NAR-C;-5.733333;-77.5;43.30555556;22.333;-6.9;-;-9.16;-;2.62
Cueva de Diamante;NAR-C;-5.733333;-77.5;43.4;22.369;-7.37;-;-9.15;-;2.62
Cueva de Diamante;NAR-C;-5.733333;-77.5;43.485;22.401;-7.34;-;-9.18;-;2.66
Cueva de Diamante;NAR-C;-5.733333;-77.5;43.57;22.433;-7.09;-;-9.33;-;2.66
Cueva de Diamante;NAR-C;-5.733333;-77.5;43.655;22.466;-6.87;-;-9.27;-;2.58
Cueva de Diamante;NAR-C;-5.733333;-77.5;43.74;22.498;-6.89;-;-9.09;-;2.66
Cueva de Diamante;NAR-C;-5.733333;-77.5;43.825;22.53;-6.85;-;-8.86;-;2.66
Cueva de Diamante;NAR-C;-5.733333;-77.5;43.91;22.563;-7.16;-;-9.01;-;2.58
Cueva de Diamante;NAR-C;-5.733333;-77.5;43.995;22.595;-6.78;-;-9.31;-;2.66
Cueva de Diamante;NAR-C;-5.733333;-77.5;44.08;22.627;-6.83;-;-9.27;-;2.66
Cueva de Diamante;NAR-C;-5.733333;-77.5;44.165;22.66;-7.27;-;-9.31;-;2.58
Cueva de Diamante;NAR-C;-5.733333;-77.5;44.25;22.692;-6.85;-;-8.81;-;2.66
Cueva de Diamante;NAR-C;-5.733333;-77.5;44.34;22.726;-6.88;-;-9.11;-;2.65
Cueva de Diamante;NAR-C;-5.733333;-77.5;44.43;22.76;-6.89;-;-9.1;-;2.65
Cueva de Diamante;NAR-C;-5.733333;-77.5;44.52;22.795;-6.64;-;-9.34;-;2.57
Cueva de Diamante;NAR-C;-5.733333;-77.5;44.61;22.829;-6.77;-;-9.13;-;2.65
Cueva de Diamante;NAR-C;-5.733333;-77.5;44.7;22.863;-7.04;-;-8.89;-;2.65
Cueva de Diamante;NAR-C;-5.733333;-77.5;44.79;22.897;-7.13;-;-9.08;-;2.65
Cueva de Diamante;NAR-C;-5.733333;-77.5;44.88;22.931;-7.26;-;-9.54;-;2.65
Cueva de Diamante;NAR-C;-5.733333;-77.5;44.97;22.966;-6.89;-;-9.09;-;2.57
Cueva de Diamante;NAR-C;-5.733333;-77.5;45.06;23;-6.82;-;-9.37;-;2.65
